NO,Title,Author,Page,Publisher,Year,Copy,Category
1,The 48 Laws of Power,Robert Greene,452,Penguin Books,2000,4,Business
2,Thinking Fast and Slow,Daniel Kahneman,514,Farrar Straus and Giroux,2011,2,Science
3,Sapiens: A Brief History of Humankind,Yuval Noah Harari,469,Harper,2015,2,History
4,The Telomere Effect,Dr. Elizabeth Blackburn,348,Grand Central Publishing,2017,2,Science
5,Atomic Habits,James Clear,320,Avery,2018,6,Business
6,School Zone - Big Preschool Workbook,School Zone,320,School Zone Publishing,2018,1,Education
7,My First Learn-to-Write Workbook,Crystal Radke,84,Rockridge Press,2019,4,Education
8,How to Price Crafts and Things You Make to Sell,James Dillehay,132,Independently published,2020,5,Art
9,Breath: The New Science of a Lost Art,James Nestor,301,Riverhead Books,2020,3,Science
10,Our America: A Photographic History,Ken Burns,352,Knopf,2022,3,Art
11,Rich Dad Poor Dad - 25th Anniversary edition,Robert T. Kiyosaki,336,Plata Publishing,2022,2,Business
12,I'm Glad My Mom Died,Jennette Mccurdy,319,Simon & Schuster,2022,2,Biography
13,And There Was Light,Jon Meacham,1268,Random House,2022,2,History
14,It Starts with Us,Colleen Hoover ,336,Atria,2022,4,Romance
15,The Song of the Cell,Siddhartha Mukherjee,496,Scribner,2022,1,Science
